Designator,Mid X,Mid Y,Rotation,Layer
D1,195.0,-64.0,0.0,top
D10,225.6,-104.05,90.0,top
D11,233.45,-103.4,0.0,top
D12,233.55,-95.4,0.0,top
D13,233.5,-87.5,0.0,top
D14,233.5,-79.5,0.0,top
D15,233.5,-71.5,0.0,top
D16,233.55,-64.1,0.0,top
D17,225.5,-64.0,90.0,top
D18,217.9,-63.95,90.0,top
D19,210.5,-64.0,90.0,top
D2,195.0,-71.5,0.0,top
D20,203.1,-63.95,90.0,top
D3,195.0,-79.4,0.0,top
D4,195.0,-87.4,0.0,top
D5,195.05,-95.6,0.0,top
D6,195.05,-103.4,0.0,top
D7,203.0,-103.95,90.0,top
D8,210.6,-104.0,90.0,top
D9,218.1,-104.0,90.0,top
